metrics,25%,50%,75%,count,max,mean,min,std
avg_time_from_origin_rail_UNWEIGHTED_london,110.40133052220651,114.5153150409495,119.63955040547576,978.0,134.425120104208,115.25406725623992,101.793289397689,6.3980039824519155
avg_time_from_origin_rail_UNWEIGHTED_rural,148.42868161561975,171.38639860622752,211.11268492075402,1326.0,437.66920397394796,185.641390481761,116.393884736717,51.49359665008934
avg_time_from_origin_rail_UNWEIGHTED_urban,125.089578937231,143.01534099122298,167.52039065666548,5875.0,365.50998015777003,150.978190492122,101.793289397689,35.46892016078022
avg_time_rail_all,25.1029140092348,51.1592,94.952232,6601.0,346.818133333333,67.695957226732,0.55493826,54.48350822839303
avg_time_rail_birmingham,22.769718869444446,36.956406714285706,53.96420646875001,127.0,97.88722,39.95236673698024,0.62759286,20.78991769392395
avg_time_rail_blackpool,22.441976875,91.9439616375,143.67017725,14.0,179.35076999999998,85.3143896029762,1.1822046,68.52997209883581
avg_time_rail_liverpool,15.865690249999977,21.92738495753965,44.567307087500026,70.0,171.94158000000002,34.42394376428531,6.1274649863636395,29.598686812435545
avg_time_rail_london,17.164083146942975,20.94823328579495,25.212960214003825,978.0,38.418502333333294,21.330039523372886,10.510836181823802,5.455541231419111
avg_time_rail_rural,62.563021999999975,97.05308915,144.19554324999976,1222.0,346.818133333333,110.04076501133038,1.68593,63.66129050294099
avg_time_rail_urban,22.4749691732459,42.228382,80.866262125,5379.0,324.34622,58.076073398366525,0.55493826,47.147009718234955
bicycle_perc_all,1.14467408585056,1.87994722955145,3.29313543599258,7201.0,33.739166322740395,2.681102136632034,0.0806776926179911,2.6094338288509773
bicycle_perc_birmingham,0.9493802955472566,1.3589128697042399,1.77294003291919,135.0,4.8218029350104805,1.5279103955910354,0.4164738546969,0.8481336736978632
bicycle_perc_blackpool,2.61557634512297,2.96027005972475,3.54533082077052,19.0,4.601406799531071,3.147410428419932,2.46568378240976,0.6086127769541537
bicycle_perc_liverpool,1.327942575456195,1.66443295422166,2.220496959071875,72.0,6.48298217179903,1.8909160155774396,0.756756756756757,0.8649654872792988
bicycle_perc_london,1.2343427251393875,2.52418465376131,5.48807199142877,978.0,20.6119162640902,3.693895965085142,0.12722646310432598,3.2351703823543554
bicycle_perc_rural,0.8416149772485875,1.284596874618575,1.9291793361942975,1326.0,13.913690476190501,1.5878554336750559,0.146520146520147,1.2204984861798296
bicycle_perc_urban,1.25259866120762,2.1108179419525097,3.65401417846025,5875.0,33.739166322740395,2.9278502435462364,0.0806776926179911,2.7711972674205474
bus_perc_all,2.49110320284698,5.3783284998681795,10.130410130410098,7201.0,45.5177551527191,7.309412645231343,0.17367141368530703,6.356014356710341
bus_perc_birmingham,14.64913225479135,18.7076602397082,21.5890099981454,135.0,29.3484757919904,18.03104794885055,2.4278676988036603,5.296073084346585
bus_perc_blackpool,7.5091764930413305,8.18159141930656,9.943107121230156,19.0,17.1195652173913,8.819560889533577,5.0495049504950495,2.878801871501799
bus_perc_liverpool,12.54945729642665,18.712977219652203,25.16171556489445,72.0,32.2409798080106,18.948007618958385,4.930156121610519,7.746058354298306
bus_perc_london,8.38058254717636,12.248142950056451,17.911381061772524,978.0,45.5177551527191,13.751942556701659,1.9281663516068102,7.2844962022015105
bus_perc_rural,1.18217121385133,1.821655108606865,2.9558044531293923,1326.0,14.440203562341,2.4113554258022614,0.17367141368530703,1.8691349829788384
bus_perc_urban,3.5677638552067,6.734059097978231,11.3920482948297,5875.0,45.5177551527191,8.414914581054818,0.36144578313253,6.487869393507878
car_perc_all,54.5084533500313,65.1075771749298,71.10474827010259,7201.0,84.1677588466579,60.00976373904637,3.05120167189133,16.49191802492391
car_perc_birmingham,52.4573443508978,59.0207914151576,64.2943488676916,135.0,74.6268656716418,57.54457839901997,26.804415510897304,9.701674643854979
car_perc_blackpool,54.3536978370111,65.1424992170373,67.8163962812143,19.0,71.8791766907244,59.50830179985433,33.3568157802043,11.985136272747956
car_perc_liverpool,46.61000817868482,55.190038042776095,62.12328498528168,72.0,75.23966036702271,53.797101772650336,22.538177988414997,11.590301700223678
car_perc_london,14.554155170042902,27.32472253330055,41.79387283834858,978.0,64.00529333921479,28.735610587184798,3.05120167189133,15.046751366761455
car_perc_rural,64.34447318219567,69.27853764192659,73.21320280906153,1326.0,82.381066220416,68.45458072371943,20.7589285714286,6.627685084143089
car_perc_urban,51.1392302134188,63.61651015505571,70.39504848814805,5875.0,84.1677588466579,58.103750577909885,3.05120167189133,17.428149873741
is_urban_all,1.0,1.0,1.0,7201.0,1.0,0.8158589084849327,0.0,0.3876261286935991
is_urban_birmingham,1.0,1.0,1.0,135.0,1.0,1.0,1.0,0.0
is_urban_blackpool,1.0,1.0,1.0,19.0,1.0,1.0,1.0,0.0
is_urban_liverpool,1.0,1.0,1.0,72.0,1.0,1.0,1.0,0.0
is_urban_london,1.0,1.0,1.0,978.0,1.0,1.0,1.0,0.0
is_urban_rural,0.0,0.0,0.0,1326.0,0.0,0.0,0.0,0.0
is_urban_urban,1.0,1.0,1.0,5875.0,1.0,1.0,1.0,0.0
metro_stations_all,0.0,0.0,0.0,7201.0,12.0,0.12484377169837522,0.0,0.5679844297116418
metro_stations_birmingham,0.0,0.0,0.0,135.0,7.0,0.0962962962962963,0.0,0.6450046172931352
metro_stations_blackpool,0.0,0.0,4.0,19.0,9.0,2.1578947368421053,0.0,3.1138250485132493
metro_stations_liverpool,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0
metro_stations_london,0.0,0.0,0.0,978.0,12.0,0.3486707566462168,0.0,0.8144694991085547
metro_stations_rural,0.0,0.0,0.0,1326.0,8.0,0.10708898944193061,0.0,0.5701991466074693
metro_stations_urban,0.0,0.0,0.0,5875.0,12.0,0.12885106382978723,0.0,0.5674552002315154
motorcycle_perc_all,0.505050505050505,0.696969696969697,0.959581273626054,7201.0,4.01267159450898,0.7755693141301861,0.0242483026188167,0.40250201404846214
motorcycle_perc_birmingham,0.298951298915554,0.46637211585665206,0.6291140119427856,135.0,1.15052732502397,0.475666493944294,0.0824742268041237,0.23774379606563975
motorcycle_perc_blackpool,0.7110196800629716,0.8415841584158421,0.9394091217051785,19.0,1.5240328253223898,0.9102413976817347,0.539374325782093,0.3000059053023089
motorcycle_perc_liverpool,0.31714878196023977,0.41309187520346147,0.4838502127706427,72.0,0.804634695848085,0.3956454267557335,0.0524383848977451,0.13893083882107804
motorcycle_perc_london,0.731128270058248,0.9886493767997425,1.3236369464424425,978.0,4.01267159450898,1.0735233385782914,0.14140938015555,0.5175057016623019
motorcycle_perc_rural,0.4998561792354427,0.659883659371221,0.8511068504100097,1326.0,2.7435387673956297,0.7009030233607302,0.0367376928728876,0.3007427991080796
