origin_msoacode,avg_time_from_origin_bus_UNWEIGHTED,"Bus, minibus or coach",cumulative_time_bus,avg_time_bus
E02000312,319.999691,510,15225.62418,29.85416506
E02000313,338.479469,605,23095.58366,38.17451844
E02000314,331.900923,862,31018.97299,35.98488746
E02000315,334.601741,633,22203.46444,35.0765631
E02000316,327.1655509,760,21524.20004,28.32131585
E02000317,332.9599632,689,21016.13728,30.50237631
E02000318,328.1653308,1137,39710.35823,34.92555693
E02000319,327.9324806,964,29980.93871,31.10055883
E02000320,332.2255421,481,13397.78001,27.85401249
E02000321,328.8133506,648,21557.7583,33.26814553
E02000323,327.0017212,1011,31538.53004,31.19538085
E02000324,329.4636223,516,13579.74066,26.31732687
E02000326,327.6666275,422,11150.47661,26.42293035
E02000327,329.6039079,474,15970.03154,33.69204967
E02000328,326.5942877,234,5563.877923,23.77725608
E02000329,334.488629,436,14212.02196,32.59638064
E02000331,329.0461099,565,15883.33387,28.11209535
E02000332,330.5703093,439,13374.40692,30.46561942
E02000333,325.6090385,191,4514.817099,23.63778586
E02000334,328.8764023,331,8767.265279,26.48720628
E02000335,335.6447772,221,7104.846867,32.14862836
E02000337,333.5565277,461,12171.79626,26.40302876
E02000339,333.6061739,211,5670.209158,26.87302918
E02000340,334.9164185,301,8185.155448,27.19320747
E02000341,335.4717706,495,13615.80718,27.50668116
E02000342,341.0810417,314,12140.6065,38.66435191
E02000343,342.9468666,339,12172.73688,35.90777842
E02000344,343.2664725,246,7916.158874,32.17950762
E02000345,315.0766011,522,14123.62763,27.0567579
E02000346,309.9618508,623,16408.80503,26.33837083
E02000347,312.8126488,506,14214.47529,28.09184841
E02000348,315.8859533,673,19362.63563,28.77063244
E02000350,314.4263847,1110,31354.90527,28.24766241
E02000351,307.761426,877,23164.77239,26.41365153
E02000352,312.0369829,749,18762.25036,25.04973346
E02000353,314.1681479,1148,33210.15067,28.92870268
E02000354,318.6220033,1086,34953.1227,32.18519585
E02000355,321.9497681,1023,31969.95819,31.25118103
E02000356,313.73435,1239,33333.66524,26.90368462
E02000357,323.9687016,763,26436.97608,34.64872357
E02000358,317.0777713,1624,43149.99187,26.57019204
E02000359,324.8516612,629,19984.26404,31.77148496
E02000360,318.6886873,1318,41086.45408,31.1733339
E02000361,320.5188758,1056,36915.48355,34.95784427
E02000362,324.7088598,605,21389.56322,35.35464995
E02000363,322.4923132,1143,40697.50991,35.60587044
E02000364,318.4193873,1019,29268.59822,28.7228638
E02000365,316.0418768,1900,47918.08141,25.22004285
E02000366,323.8989648,840,25530.32083,30.39323908
E02000367,319.372281,1145,32312.0243,28.22010856
E02000368,318.1624658,1001,29516.87032,29.48738293
E02000369,316.3074049,1563,41060.91315,26.27057783
E02000370,310.4934404,876,21485.2949,24.52659235
E02000371,310.6829291,1112,25691.48635,23.10385463
E02000372,298.5986906,786,21174.44534,26.93949789
E02000373,295.8302424,548,16329.03974,29.79751777
E02000374,297.9896412,485,14353.47057,29.59478467
E02000375,290.2125888,614,15699.9039,25.56987605
E02000376,291.0309885,544,13721.72173,25.22375318
E02000377,295.0808354,699,17231.74641,24.65199773
E02000378,291.5945516,424,11372.52469,26.82199219
E02000379,296.031905,474,12088.58345,25.50334061
E02000380,291.8247603,264,6960.014079,26.36368969
E02000381,294.2384335,454,12689.18395,27.94974438
E02000382,296.5035126,324,8261.616256,25.4988156
E02000383,296.8791378,599,16360.63593,27.31324863
E02000384,296.7655006,407,10269.77963,25.23287379
E02000385,302.3115213,204,6445.932757,31.59770959
E02000386,302.6538428,514,14852.37276,28.89566686
E02000387,302.227614,491,14080.46229,28.67711261
E02000388,301.2242297,565,14668.0061,25.96107275
E02000389,303.0210095,539,14160.26973,26.2713724
E02000390,303.4162781,531,13837.35115,26.05904172
E02000391,304.9561653,515,14192.04189,27.5573629
E02000392,302.4983005,608,17558.18516,28.87859401
