"AtcoCode","CommonName","CommonNameLang","ShortName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"1000DSTR5234","Recreation Ground","en","","","Recreation Ground","en","Travers Road","en","","","adj","en","2007-02-27T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTR5234","Spencer Avenue","en","","","Spencer Avenue","en","Travers Road","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTR5282","Victoria Street","en","","","Victoria Street","en","Tamworth Road","en","","","opp","en","2008-10-10T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTS1357","Red Lion","en","","","Red Lion PH","en","Town Street","en","","","adj","en","2006-06-26T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTS5235","Orchard Business Park","en","","","Orchard Business Park","en","Town Street","en","","","opp","en","2007-02-27T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTV6899","Gloucester Avenue","en","","","Gloucester Avenue","en","Tapton View Road","en","","","opp","en","2008-07-07T00:00:00","2009-06-30T00:00:00","","new"
"1000DSTV6899","Highfield Road","en","","","Highfield Road","en","Tapton View Road","en","","","adj","en","2006-11-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSUR4725","Dalston Road","en","","","Dalston Road","en","High Street","en","","","opp","en","2007-01-05T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVB5531","Horsecroft Close","en","","","Horsecroft Close","en","Barling Drive","en","","","Opp","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVB5535","Junior School","en","","","Junior School","en","Main Road","en","","","adj","en","2008-07-07T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVC1447","Junior School","en","","","Junior School","en","Main Road","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVC5501","Rayneham Road","en","","","Rayneham Road","en","Shipley Common Lane","en","","","opp","en","2008-08-07T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVC5932","Kedleston Drive","en","","","Kedleston Drive","en","Shipley Common Lane","en","","","opp","en","2008-08-07T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVH5532","Watson Road","en","","","Watson Road","en","Huckerby Road","en","","","Adj","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVM5533","Huckerby Road","en","","","Huckerby Road","en","Mason Road","en","","","Opp","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVM5534","Summerfields Way South","en","","","Summerfields Way South","en","Mason Road","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVN5528","Windley Drive","en","","","Windley Drive","en","Newstead Road South","en","","","Adj","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVP5527","Highgate Drive","en","","","Highgate Drive","en","Pentridge Drive","en","","","Opp","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVP5557","Holywell Road","en","","","Holywell Road","en","Pentridge Drive","en","","","adj","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVR7626","Lilac Grove","en","","","Lilac Grove","en","Valley Road","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVR7627","Lilac Grove","en","","","Lilac Grove","en","Valley Road","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVR7627","Recreation Road","en","","","Recreation Road","en","Valley Road","en","","","adj","en","2010-02-03T00:00:00","2010-02-03T00:00:00","","new"
"1000DSVS1446","Falcon Rise","en","","","Falcon Rise","en","Oakhill Road","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVS5529","Heanor Road","en","","","Heanor Road","en","Kedleston Drive","en","","","Opp","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVS5536","Coop Store","en","","","Co-op Store","en","Summerfields Way","en","","","opp","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVS5536","Westfield Drive","en","","","Westfield Drive","en","Summerfields Way","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVS5537","Whitehead Close","en","","","Whitehead Close","en","Summerfields Way","en","","","Opp","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVS5541","Adams Court","en","","","Adams Court","en","Kedleston Drive","en","","","opp","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVS5541","Heanor Road","en","","","Heanor Road","en","Kedleston Drive","en","","","Adj","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVS5554","Wynyard Close","en","","","Wynyard Close","en","Summerfields Way","en","","","Opp","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSVS5555","Newstead Road South","en","","","Newstead Road South","en","Summerfields Way","en","","","Opp","en","2006-12-14T00:00:00","2009-06-30T00:00:00","","new"
"1000DSWBL731","Knob Fields","en","","","Knob Fields","en","Burton Road","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSWL5688","Lime Grove","en","","","","","","","","","","","2012-10-22T00:00:00","2012-10-22T00:00:00","","new"
"1000DSWM2770","Wingfield Hall","en","","","Wingfield Hall","en","Manor Road","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSWM2771","Wingfield Hall","en","","","Wingfield Hall","en","Manor Road","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSWO5689","Oak Crescent","en","","","Oak Crescent","en","Willow Meadow Road","en","","","adj","en","2006-12-04T00:00:00","2009-06-30T00:00:00","","new"
"1000DSWR3475","Pennine Road","en","","","Pennine Road","en","Werneth Road","en","","","adj","en","2006-12-15T00:00:00","2009-06-30T00:00:00","","new"
