,MSOA,Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,bicycle_perc,on_foot_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,label
2882,E02002963,-0.7210086451107008,0.0,0.0,-1.5256063429548503,-2.6832146681591715,-9.423655585886033,-1.6685276339671815,1.65643170598291,-0.5997020175807284,2.290772522302053,-7.727005452993724,-2.4831923273810124,0.2515715507203345,-0.8710765001220258,-3.9214446164859664,-1.3517453868908498,-0.08744531008210787,3
2883,E02002964,0.18673953117571634,0.0,0.0,-0.4801879824505281,-1.81658881043276,-6.509895546179918,-2.0394142196176035,1.4993036087863196,-0.136789088186455,-0.2004284335263876,-7.692451173913233,-2.6788453744277803,0.0501191053861906,-1.1683888580862358,-3.2307048989195195,1.217348830821838,0.2243786755979072,3
2884,E02002965,1.2030750514914954,0.0,0.0,-1.512005678213887,-1.2813009615856703,-8.227357838822975,-1.0185561084850934,1.0883948452968923,-0.3173882389673507,3.5317198049475063,-7.990537210234237,-0.7151446326517777,-0.048997086014118764,0.17053595299105231,-4.420478732410111,0.9424490845051648,-0.3849389309082077,3
2885,E02002966,0.24295122627841506,0.0,0.0,-1.841950481318931,-1.98887147991236,8.865014729197242,-0.17355687077522375,1.6239723035618139,0.003948708177923432,3.2494404911374817,-8.178465890144436,-0.23565829256165874,0.19832561406052396,2.226036077248694,-4.963758488387927,-12.474503326908696,-0.5175138456108025,0
2886,E02002967,0.2700839729776609,0.0,0.0,-1.684786878215079,-3.3913002402549797,8.865014729197242,-2.0555472147909106,2.687794656850486,-0.2061116464054108,0.2653229087106246,-7.706197298454749,-0.9939264068596424,0.20961557906095188,-1.1571486732096348,-3.654414044729641,-12.474503326908696,-0.02126895579541224,0
2887,E02002968,0.3479290506952603,0.0,0.0,-0.2252973593905979,-1.4190542154057582,-11.121285673549671,-0.8040010115179297,0.21666852621022814,-0.21319542730144128,3.0821406074423283,-8.169527649768566,-1.5815501116345851,0.06458653740340928,-2.0165186820404153,-4.5559544207726885,-12.474503326908696,-0.1188781462850462,3
2888,E02002969,-0.03421174327054883,0.0,0.0,-1.164580999793558,-1.816738966751225,-4.823186973485116,-0.3524276357491868,1.164437845537145,0.17394627116881567,2.4759594393329807,-8.352956269938394,-1.583261408524138,0.12142264935498022,-0.681689703835374,-4.75325766108013,0.4851899133002064,-0.13881695015077108,3
2889,E02002970,0.2151800037717979,0.0,0.0,-0.9953969149561984,-2.252664852844018,-6.5210496212422,-1.6599704837666318,1.1381286216256088,0.2874887952204598,1.7793098520081496,-8.111138204000147,-2.9525348970435386,0.4779469193547398,-0.6957115214622797,-4.526885013501698,2.8945526745126338,0.03706600838363982,3
2890,E02002971,-1.4785390440179709,0.0,0.0,-0.17664765834606905,-4.717038127882365,8.865014729197242,-2.318412295870465,0.6964250401322691,-0.3852095930890268,0.2933240063926189,-8.105607301049552,-2.754967581338899,0.5620209845910782,-0.12365631458010012,-4.152643377756971,-12.474503326908696,0.3401545166851057,0
2891,E02002972,0.2151800037717979,0.0,0.0,-0.8961610050640313,-4.07019227228842,-4.710958780984428,-1.7879690622946025,0.8156979503455402,-0.4217975551287071,1.101397911870127,-8.106836042334903,-1.352849829295428,0.1938705889303049,-0.25696928444520706,-4.0460851189471265,2.6923240935548347,0.2440616281345728,3
