,MSOA,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,motorcycle_perc,bicycle_perc,on_foot_perc,other_perc,car_perc,label
6705,E02006848,0.3902364796250371,0.16914701921983438,0.51049479343086,0.6143121353411145,0.7346813654322945,0.5759842606910373,0.2464562723527497,0.353689520477761,0.9752959561340931,2
6706,E02006849,0.4521749589273025,0.2248590499733332,0.5196513870408597,0.5820745661478471,0.6579826698647271,0.5659498244520986,0.24923382479123776,0.39699993551317375,0.9743619323243929,0
6707,E02006850,0.2849039640759525,0.4688830341570169,0.5750129740436472,0.7878155519640303,0.1993364262420415,0.6379288432353072,0.9592976732722621,0.5218521505809433,0.6641737506479308,2
6708,E02006851,0.2671430486875502,0.4056741066165099,0.6583234053338596,0.8116700257906921,0.5009698407824918,0.5934267674201217,0.9514034905208522,0.4916974557539884,0.6506036480557987,2
6709,E02006852,0.4762173104917981,0.34249683159443284,0.5585749939071664,0.8141540213890379,0.5543599622701091,0.6596159355944605,0.5629527136783151,0.4004108357789141,0.8715909233709214,2
6710,E02006853,0.3085578573734364,0.9760766628843508,0.6510304176394344,0.6494779388203281,0.5441878890650742,0.5428698271473039,0.792944263472342,0.5867773929458321,0.3377804060660734,1
6711,E02006854,0.38976991441006104,0.9723730998847868,0.6274666396281197,0.5672467458108729,0.4883860046900479,0.4952710264546212,0.8398070932051278,0.7296639731367952,0.261678898123508,1
6712,E02006855,0.4273862618400112,0.3639086762321812,0.6491350478686789,0.6012742132280801,0.6785321553931025,0.6909570779939139,0.8235065298265046,0.3837529133673654,0.8305149276877726,2
6713,E02006856,0.4870042915546134,0.3817772593315142,0.7277338998718167,0.6752277267194364,0.5333714226989761,0.6528718547250649,0.8577032733443855,0.5009609226013345,0.7652766557980333,2
6714,E02006857,0.4118611992432483,0.18267761619793105,0.6245122222232766,0.6166185279760379,0.5822876067577111,0.6358845749270444,0.5033858383659096,0.4318559627882884,0.9387017791289184,2
6715,E02006858,0.5399631613809535,0.3230904834181468,0.6848155985056232,0.5777049824107419,0.6406463135138161,0.5417997554766056,0.3528605912943631,0.6348774433399093,0.94134007510223,0
6716,E02006859,0.34554936687982124,0.6771331606089304,0.9470222686501406,0.31147874166045264,0.7153363877638766,0.29955258374928284,0.44792754615806507,0.5079090086538687,0.8228541040007549,1
6717,E02006860,0.3951867949487736,0.3423419957995947,0.3037226893527777,0.7473849244499503,0.4390495150426929,0.3370108311856933,0.5904877139796131,0.6515099985089046,0.917285792433143,2
